"","depth","d34S","site"
"1",1511.808,12.2,"North Sea"
"2",1524,14,"North Sea"
"3",1554.48,13.6,"North Sea"
"4",1584.96,14.7,"North Sea"
"5",1658.112,15.8,"North Sea"
"6",1676.4,15.8,"North Sea"
"7",1706.88,18.4,"North Sea"
"8",1743.456,19.8,"North Sea"
"9",1792.224,20.3,"North Sea"
"10",1810.512,18.5,"North Sea"
"11",1822.704,21.7,"North Sea"
"12",1847.088,25.1,"North Sea"
"13",1859.28,25,"North Sea"
"14",1871.472,25.4,"North Sea"
"15",1883.664,20,"North Sea"
"16",1895.856,19.3,"North Sea"
"17",1932.432,12.6,"North Sea"
"18",1981.2,15.1,"North Sea"
"19",2060.448,10.5,"North Sea"
"20",2084.832,12.2,"North Sea"
"21",2103.12,13,"North Sea"
"22",2151.888,13.2,"North Sea"
"23",2218.944,12.7,"North Sea"
"24",2286,10.4,"North Sea"
"25",2298.192,10.8,"North Sea"
"26",2316.48,9.7,"North Sea"
"27",2346.96,8.2,"North Sea"
"28",2377.44,8.5,"North Sea"
"29",2395.728,9.6,"North Sea"
"30",2407.92,8.9,"North Sea"
"31",2526.792,9.4,"North Sea"
"32",2535.936,9,"North Sea"
"33",2545.08,8.9,"North Sea"
"34",2554.224,10.1,"North Sea"
"35",2581.656,10.8,"North Sea"
"36",2590.8,11.2,"North Sea"
"37",2618.232,11.2,"North Sea"
"38",2636.52,10.8,"North Sea"
"39",2654.808,10.8,"North Sea"
"40",2682.24,12.6,"North Sea"
"41",2697.48,11.8,"North Sea"
"42",2743.2,11.5,"North Sea"
"43",2764.536,11.2,"North Sea"
"44",2807.208,10.8,"North Sea"
"45",2834.64,11.1,"North Sea"
"46",2892.552,11.3,"North Sea"
"47",2950.464,11.4,"North Sea"
"48",390.195816,15.86,"Staithes"
"49",390.348216,16.13,"Staithes"
"50",396.24,18.44,"Staithes"
"51",396.291816,15.72,"Staithes"
"52",397.1544,17.05,"Staithes"
"53",397.434816,15.6,"Staithes"
"54",397.663416,16.4,"Staithes"
"55",397.815816,18.22,"Staithes"
"56",398.273016,16.72,"Staithes"
"57",398.9832,15.98,"Staithes"
"58",399.312384,16.14,"Staithes"
"59",399.5928,16.87,"Staithes"
"60",399.921984,16.85,"Staithes"
"61",400.2024,16.85,"Staithes"
"62",401.244816,16.99,"Staithes"
"63",402.0312,16.49,"Staithes"
"64",402.540216,16.61,"Staithes"
"65",403.046184,16,"Staithes"
"66",404.4696,16.26,"Staithes"
"67",404.951184,16.81,"Staithes"
"68",406.6032,15.47,"Staithes"
"69",407.036016,15.94,"Staithes"
"70",408.560016,14.99,"Staithes"
"71",409.093416,15.06,"Staithes"
"72",410.160216,14.43,"Staithes"
"73",410.589984,14.02,"Staithes"
"74",411.6324,14.51,"Staithes"
"75",412.0896,14.14,"Staithes"
"76",413.6136,14.62,"Staithes"
"77",415.7472,13.4,"Staithes"
"78",416.256216,13.65,"Staithes"
"79",416.9664,14.23,"Staithes"
"80",417.576,14.85,"Staithes"
"81",419.1,14.47,"Staithes"
"82",420.3192,14.92,"Staithes"
"83",421.6146,14.7,"Staithes"
"84",423.5196,15.11,"Staithes"
"85",425.5008,14.29,"Staithes"
"86",426.086016,14.89,"Staithes"
"87",427.3296,14.91,"Staithes"
"88",428.244,14.81,"Staithes"
"89",430.886616,15.01,"Staithes"
"90",431.648616,15.06,"Staithes"
"91",432.6636,16.07,"Staithes"
"92",433.197,15.9,"Staithes"
"93",436.068216,16.02,"Staithes"
"94",436.245,15.65,"Staithes"
"95",436.8546,15.47,"Staithes"
"96",442.898784,15.2,"Staithes"
"97",443.993016,15.58,"Staithes"
"98",448.6656,15.57,"Staithes"
"99",450.8754,16.61,"Staithes"
"100",451.204584,16.21,"Staithes"
"101",453.9996,16.02,"Staithes"
"102",454.8378,16.14,"Staithes"
"103",455.3712,16.14,"Staithes"
"104",455.4474,15.73,"Staithes"
"105",457.5048,16.49,"Staithes"
"106",459.510384,15.8,"Staithes"
"107",460.4004,15.92,"Staithes"
"108",462.482184,15.9,"Staithes"
"109",462.9912,15.89,"Staithes"
"110",463.347816,16.25,"Staithes"
"111",466.5726,14.96,"Staithes"
"112",466.9536,14.31,"Staithes"
"113",467.5632,15.03,"Staithes"
"114",468.806784,15.27,"Staithes"
"115",471.882216,16.19,"Staithes"
"116",472.263216,16.34,"Staithes"
"117",472.921584,17.53,"Staithes"
"118",473.378784,16.39,"Staithes"
"119",475.131384,16.13,"Staithes"
"120",475.997016,15.59,"Staithes"
"121",482.4984,17.17,"Staithes"
"122",483.894384,19.06,"Staithes"
"123",484.074216,16.65,"Staithes"
"124",484.503984,18.27,"Staithes"
"125",485.2416,17.04,"Staithes"
"126",485.6226,18.21,"Staithes"
"127",486.0798,17.5,"Staithes"
"128",486.665016,18.19,"Staithes"
"129",487.475784,17.21,"Staithes"
"130",488.417616,16.75,"Staithes"
"131",489.204,16.99,"Staithes"
"132",492.5568,15.8,"Staithes"
"133",493.1664,17.9,"Staithes"
"134",493.776,17.33,"Staithes"
"135",494.3856,18.18,"Staithes"
"136",495.5286,17,"Staithes"
"137",495.705384,17.36,"Staithes"
"138",496.3668,18.49,"Staithes"
"139",498.323616,17.13,"Staithes"
"140",499.439184,18.45,"Staithes"
"141",500.076216,17.17,"Staithes"
"142",500.201184,16.84,"Staithes"
"143",502.743216,18.1,"Staithes"
"144",507.1872,18.94,"Staithes"
"145",508.354584,18.39,"Staithes"
"146",512.115816,17.36,"Staithes"
"147",512.3688,17.81,"Staithes"
"148",515.7216,17.83,"Staithes"
"149",517.5504,18.07,"Staithes"
"150",519.303,18.15,"Staithes"
"151",521.1318,18.14,"Staithes"
"152",523.3416,18.75,"Staithes"
"153",525.8562,18.1,"Staithes"
"154",527.203416,20.3,"Staithes"
"155",529.184616,18.82,"Staithes"
"156",529.946616,18.6,"Staithes"
"157",530.0472,19.6,"Staithes"
"158",531.089616,20.53,"Staithes"
"159",531.9522,18.56,"Staithes"
"160",532.1808,20.25,"Staithes"
"161",532.662384,18.67,"Staithes"
"162",533.604216,19.65,"Staithes"
"163",534.338784,18.67,"Staithes"
"164",534.567384,18.83,"Staithes"
"165",535.2288,18.97,"Staithes"
"166",535.686,18.55,"Staithes"
"167",535.938984,18.48,"Staithes"
"168",536.576016,19,"Staithes"
"169",537.21,19.25,"Staithes"
"170",537.539184,19.13,"Staithes"
"171",537.871416,19.74,"Staithes"
"172",538.2006,19.47,"Staithes"
"173",539.395416,19.68,"Staithes"
"174",539.8008,19.33,"Staithes"
"175",540.739584,19.48,"Staithes"
"176",541.3248,19.42,"Staithes"
"177",542.976816,19.81,"Staithes"
"178",543.4584,19.37,"Staithes"
"179",543.7632,19.88,"Staithes"
"180",544.397184,20.37,"Staithes"
"181",544.701984,20.36,"Staithes"
"182",544.83,19.4,"Staithes"
"183",546.0492,19.06,"Staithes"
"184",546.8112,19.02,"Staithes"
"185",547.4208,19.68,"Staithes"
"186",547.701216,20.39,"Staithes"
"187",552.9072,20.48,"Staithes"
"188",554.1264,19.56,"Staithes"
"189",556.360584,19.4,"Staithes"
"190",556.540416,20.25,"Staithes"
"191",557.1744,19.85,"Staithes"
"192",557.884584,20.01,"Staithes"
"193",561.1368,19.68,"Staithes"
"194",562.941216,20.06,"Staithes"
"195",563.0418,19.97,"Staithes"
"196",563.6514,20.05,"Staithes"
"197",563.904384,19.79,"Staithes"
"198",564.312816,20.2,"Staithes"
"199",565.227216,18.62,"Staithes"
"200",565.7088,20.13,"Staithes"
"201",566.266584,20.13,"Staithes"
"202",566.571384,20.16,"Staithes"
"203",568.351416,20.37,"Staithes"
"204",571.1952,20.79,"Staithes"
"205",571.5,19.68,"Staithes"
"206",577.724016,20.22,"Staithes"
"207",583.3872,21.32,"Staithes"
"208",585.3684,21.49,"Staithes"
"209",587.3496,22.59,"Staithes"
"210",590.0928,20.85,"Staithes"
"211",591.6168,21.52,"Staithes"
"212",596.7984,21.12,"Staithes"
"213",597.203784,21.33,"Staithes"
"214",597.508584,21.56,"Staithes"
"215",598.2462,21.93,"Staithes"
"216",598.3986,21.15,"Staithes"
"217",598.6272,20.11,"Staithes"
"218",598.755216,20.81,"Staithes"
"219",599.108784,21.47,"Staithes"
"220",603.022416,22.4,"Staithes"
"221",603.32112,23.33,"Staithes"
"222",605.204784,22.87,"Staithes"
"223",608.204016,23.04,"Staithes"
"224",609.194616,24.58,"Staithes"
"225",610.8192,24.92,"Staithes"
"226",611.6574,24.29,"Staithes"
"227",612.3432,24.38,"Staithes"
"228",612.8766,24.54,"Staithes"
"229",614.172,24.94,"Staithes"
"230",617.601,28.43,"Staithes"
"231",618.996984,26.28,"Staithes"
"232",623.825016,26.23,"Staithes"
"233",624.5352,26.69,"Staithes"
"234",628.549416,26.84,"Staithes"
"235",629.1072,27.7,"Staithes"
"236",630.555,24.26,"Staithes"
"237",630.8598,22.72,"Staithes"
"238",631.2408,18.54,"Staithes"
"239",631.417584,22.94,"Staithes"
"240",632.0028,18.47,"Staithes"
"241",632.130816,18.85,"Staithes"
"242",632.283216,17.47,"Staithes"
"243",632.6124,17,"Staithes"
"244",632.9172,16.2,"Staithes"
"245",632.9934,16.18,"Staithes"
"246",633.222,17.7,"Staithes"
"247",633.426216,16.86,"Staithes"
"248",633.627384,16.84,"Staithes"
"249",633.6792,16.15,"Staithes"
"250",634.142496,15.99,"Staithes"
"251",634.2126,16.33,"Staithes"
"252",634.4412,15.52,"Staithes"
"253",634.8984,15.67,"Staithes"
"254",635.2794,16.2,"Staithes"
"255",635.608584,17.29,"Staithes"
"256",636.141984,16.44,"Staithes"
"257",636.675384,17.66,"Staithes"
"258",638.8608,15.74,"Staithes"
"259",640.3848,15.68,"Staithes"
"260",641.604,16.18,"Staithes"
"261",643.637016,15.47,"Staithes"
"262",657.554184,14.34,"Staithes"
"263",664.7688,14.92,"Staithes"
"264",675.080184,10.78,"Staithes"
"265",692.5056,12.8,"Staithes"
"266",719.0232,12.35,"Staithes"
"267",732.486216,11.14,"Staithes"
"268",750.1128,10.97,"Staithes"
"269",817.4736,12.16,"Staithes"
"270",876.123216,10.78,"Staithes"
"271",878.305584,10.04,"Staithes"
"272",878.5098,10.65,"Staithes"
"273",882.039384,10.94,"Staithes"
"274",882.1674,11.46,"Staithes"
"275",882.344184,10.45,"Staithes"
"276",882.7008,11.04,"Staithes"
"277",894.993384,9.57,"Staithes"
"278",895.173216,10,"Staithes"
"279",895.907784,10.27,"Staithes"
"280",897.279384,9.67,"Staithes"
"281",902.208,9.97,"Staithes"
"282",911.352,9.83,"Staithes"
"283",912.699216,10.54,"Staithes"
"284",913.004016,10.49,"Staithes"
"285",921.1818,10.13,"Staithes"
"286",921.663384,8.98,"Staithes"
"287",936.979584,8.87,"Staithes"
"288",937.0314,9.38,"Staithes"
"289",938.022,8.81,"Staithes"
"290",938.1744,8.43,"Staithes"
"291",938.7078,8.66,"Staithes"
"292",946.047384,8.9,"Staithes"
"293",947.3946,7.51,"Staithes"
"294",947.4708,7.99,"Staithes"
"295",949.833,11.64,"Staithes"
"296",954.533016,11.74,"Staithes"
"297",959.8152,9.86,"Staithes"
"298",960.220584,11.49,"Staithes"
"299",961.9488,11.2,"Staithes"
"300",964.2348,10.63,"Staithes"
"301",964.692,11.46,"Staithes"
"302",964.896216,10.93,"Staithes"
"303",965.173584,11.03,"Staithes"
"304",966.648816,12.02,"Staithes"
"305",967.5114,11.46,"Staithes"
"306",969.620616,13.59,"Staithes"
"307",969.8736,13.06,"Staithes"
"308",970.788,14.25,"Staithes"
"309",971.8548,10.45,"Staithes"
"310",973.707984,9.13,"Staithes"
"311",974.0646,9.77,"Staithes"
"312",974.878416,7.99,"Staithes"
"313",977.213184,8.94,"Staithes"
"314",977.7984,8.84,"Staithes"
"315",979.831416,9.61,"Staithes"
"316",979.880184,9.57,"Staithes"
"317",980.1606,7.94,"Staithes"
"318",980.718384,9.13,"Staithes"
"319",983.031816,10.97,"Staithes"
"320",983.489016,10.45,"Staithes"
"321",983.8944,10.21,"Staithes"
"322",989.481384,10.98,"Staithes"
"323",991.185216,9.86,"Staithes"
"324",991.718616,8.54,"Staithes"
"325",991.767384,8.32,"Staithes"
"326",992.099616,8.91,"Staithes"
"327",993.138984,9.34,"Staithes"
"328",993.267,9.55,"Staithes"
"329",996.0102,8.7,"Staithes"
"330",996.5436,8.5,"Staithes"
"331",997.6866,7.66,"Staithes"
"332",998.348016,8.56,"Staithes"
"333",998.982,7.86,"Staithes"
"334",1000.481616,8.71,"Staithes"
"335",1001.368584,7.9,"Staithes"
"336",1002.4872,9.68,"Staithes"
"337",1003.910616,10.74,"Staithes"
"338",1005.078,10.46,"Staithes"
"339",1005.102384,12.86,"Staithes"
"340",1006.983,11.27,"Staithes"
"341",1007.8212,11.21,"Staithes"
"342",1008.888,11.59,"Staithes"
"343",1010.412,11.52,"Staithes"
"344",1010.5644,11.02,"Staithes"
"345",1011.4788,10.74,"Staithes"
"346",1013.3076,10.08,"Staithes"
"347",1013.359416,10.67,"Staithes"
"348",1013.9172,10.29,"Staithes"
"349",1014.3744,11.19,"Staithes"
"350",1016.788416,11.87,"Staithes"
"351",1017.27,9.2,"Staithes"
"352",1018.312416,7.93,"Staithes"
"353",1019.556,7.41,"Staithes"
"354",1020.7752,7.47,"Staithes"
"355",1021.6896,7.04,"Staithes"
"356",1022.604,7.12,"Staithes"
"357",1024.128,8.15,"Staithes"
"358",1027.380216,8.89,"Staithes"
"359",1028.066016,10.06,"Staithes"
"360",1028.3952,10.24,"Staithes"
"361",1029.0048,9.42,"Staithes"
"362",1030.7574,9.78,"Staithes"
"363",1031.2908,10.02,"Staithes"
"364",1031.619984,9.56,"Staithes"
"365",1033.8816,9.4,"Staithes"
"366",1037.030184,9.95,"Staithes"
"367",1037.844,10.14,"Staithes"
"368",1038.1488,9.97,"Staithes"
"369",1038.4536,10.14,"Staithes"
"370",1039.724616,10.1,"Staithes"
"371",1041.449784,9.81,"Staithes"
"372",1042.086816,10.9,"Staithes"
"373",1045.287216,10.63,"Staithes"
"374",1047.0642,10.08,"Staithes"
"375",1047.268416,11.13,"Staithes"
"376",1047.4452,10.76,"Staithes"
"377",1047.5976,11.15,"Staithes"
"378",1048.0548,10.87,"Staithes"
"379",1048.487616,10.62,"Staithes"
"380",1048.9692,10.2,"Staithes"
"381",1049.4264,10.34,"Staithes"
"382",1050.1122,10.49,"Staithes"
"383",1050.3408,10.42,"Staithes"
"384",1050.545016,10.09,"Staithes"
"385",1050.9504,10.68,"Staithes"
"386",1051.1028,11.01,"Staithes"
"387",1052.7792,10.06,"Staithes"
"388",1053.3126,9.39,"Staithes"
"389",1053.336984,9.72,"Staithes"
"390",1053.3888,9.66,"Staithes"
"391",1053.5412,9.25,"Staithes"
"392",1053.669216,8.91,"Staithes"
"393",1053.821616,9.24,"Staithes"
"394",1053.9984,8.91,"Staithes"
"395",1054.126416,8.5,"Staithes"
"396",1054.3032,9.99,"Staithes"
"397",1055.2176,8.4,"Staithes"
"398",1055.5224,9.04,"Staithes"
"399",1055.8272,9,"Staithes"
"400",1055.9796,9.09,"Staithes"
"401",1056.132,8.96,"Staithes"
"402",1056.260016,9.04,"Staithes"
"403",1056.4368,9.09,"Staithes"
"404",1056.488616,9.31,"Staithes"
"405",1056.7416,9.38,"Staithes"
"406",1057.275,9.38,"Staithes"
"407",1057.403016,8.86,"Staithes"
"408",1057.8846,9.39,"Staithes"
"409",1057.908984,9.22,"Staithes"
"410",1058.061384,9.47,"Staithes"
"411",1058.2656,9.36,"Staithes"
